system_file	kepler_file	num_moons	Planet_period(days)	P_Transits_present/absent	SNR1	SNR2	SNR3	SNR4	SNR5	M_Transits_present/absent1	M_Transits_present/absent2	M_Transits_present/absent3	M_Transits_present/absent4	M_Transits_present/absent5	DW_statistic	Best_offset	Planet_Transit_duration	t0_bary
july13_nores_486	dummy_lc.txt	1	21.7325279606489	111111111000011110011111110000101111101111100001111111111	29.3398305897917	NA	NA	NA	NA	111111111000011110011111110000101111101111100001111111111	NA	NA	NA	NA	1.9852047043253283	5.807074826266534	0.1911930555998028	358.70394440323406
july13_nores_771	dummy_lc.txt	1	57.51080325982105	1111011111001111001111	8.697940907728075	NA	NA	NA	NA	1111011111001111001111	NA	NA	NA	NA	1.9921255725088989	0.47990582154053896	0.29933303006561546	353.3770357488482
july13_nores_126	dummy_lc.txt	1	69.9238737794519	111011110011110111	3.0708394226911713	NA	NA	NA	NA	111011110011110111	NA	NA	NA	NA	1.9887057919986044	3.6317598956175043	0.48281663396187047	356.52859839738056
july13_nores_986	dummy_lc.txt	1	552.2494174247753	111	4.091054883043718	NA	NA	NA	NA	111	NA	NA	NA	NA	1.9898054958128883	0.0	0.2758006048396375	352.891513928142
july13_nores_376	dummy_lc.txt	1	21.47272220965314	1111111110000111101111111100001111111111111000001111111100	13.2527464537041	NA	NA	NA	NA	1111111110000111101111111100001111111111111000001111111100	NA	NA	NA	NA	1.986428297219754	5.678486501208303	0.21696784634072377	358.5753512288283
july13_nores_411	dummy_lc.txt	1	343.4165205028124	1111	6.368395223769681	NA	NA	NA	NA	1111	NA	NA	NA	NA	1.9894616018772389	0.0	0.1840615239130405	352.8969996665555
july13_nores_716	dummy_lc.txt	1	161.70444475234353	11111101	6.462974457626531	NA	NA	NA	NA	11111101	NA	NA	NA	NA	1.9872608402128011	6.129488812085733	0.273602132463394	359.02608846530734
july13_nores_646	dummy_lc.txt	1	90.05940619621815	11011101110111	2.0207845397934587	NA	NA	NA	NA	11011101110111	NA	NA	NA	NA	1.9892156235241523	31.538575971080046	0.37694048435938765	384.4355230868642
july13_nores_526	dummy_lc.txt	1	102.33517953600492	110111111011	4.987224242898271	NA	NA	NA	NA	110111111011	NA	NA	NA	NA	1.9877894173076145	34.509015519368965	0.3597568870583498	387.4062646386839
july13_nores_246	dummy_lc.txt	1	162.51680149801055	11111101	6.731590833906091	NA	NA	NA	NA	11111101	NA	NA	NA	NA	1.9865733446370097	0.0	0.3491183646607499	353.3945881112669
july13_nores_581	dummy_lc.txt	1	22.598804045399504	1101111100000111111111111000011111111111100001111101111	693.102102441393	NA	NA	NA	NA	1101111100000111111111111000011111111111100001111101111	NA	NA	NA	NA	1.9877559597784822	4.072233474632956	0.23081031059892948	357.46956820788677
july13_nores_741	dummy_lc.txt	1	35.76311594660909	11111100111111110011111111000111111	5.64106095948263	NA	NA	NA	NA	11111100111111110011111111000111111	NA	NA	NA	NA	1.9861114131019697	4.9444433403806745	0.28031724689263565	357.84141014500625
july13_nores_146	dummy_lc.txt	1	216.78839373586567	101111	11.577879499835987	NA	NA	NA	NA	101111	NA	NA	NA	NA	1.9889776138979618	2.088771822250609	0.4066509771807077	355.48575815530603
july13_nores_746	dummy_lc.txt	1	23.546761735317524	11101111000011111111111000011110111111100001111111111	11.82708838163305	NA	NA	NA	NA	11101111000011111111111000011110111111100001111111111	NA	NA	NA	NA	1.9929658472886276	13.409826895937787	0.19701269339107702	366.30692976699163
july13_nores_201	dummy_lc.txt	1	27.739363394350303	111111100011101111110001111111111000011111111	50.54828432004409	NA	NA	NA	NA	111111100011101111110001111111111000011111111	NA	NA	NA	NA	1.9920662705285854	14.514239359193605	0.1655499889039679	367.41097987008504
july13_nores_451	dummy_lc.txt	1	14.58397997793594	1110110101111000000111111101011011111100000001111111111111111111000000111111111111111	5.385612530830112	NA	NA	NA	NA	1110110101111000000111111101011011111100000001111111111111111111000000111111111111111	NA	NA	NA	NA	1.9915697256722917	1.0649680109705768	0.20125658314923225	353.96195824603313
july13_nores_787	dummy_lc.txt	2	12.744809556716968	1111111111111110000000101111101101111111111100000001111111011111111111111000000011101111111111111	3.258380861628904	2.2824127430236674	NA	NA	NA	1111111111111110000000101111101101111111111100000001111111011111111111111000000011101111111111111	1111111111111110000000101111101101111111111100000001111111011111111111111000000011101111111111111	NA	NA	NA	1.9862192810604145	2.4398474317889987	0.16471777190778678	355.3368316277433
july13_nores_752	dummy_lc.txt	2	461.3237113306568	111	7.1494231143976155	4.4413669518356	NA	NA	NA	111	111	NA	NA	NA	1.9871912782612646	268.97085358792117	3.009822889044876	630.3675932541
july13_nores_832	dummy_lc.txt	2	17.20656790635488	111110111110000001111111010111110000001111111111111111000000111111111111	3.541935488970623	2.6394842576977697	NA	NA	NA	111110111110000001111111010111110000001111111111111111000000111111111111	111110111110000001111111010111110000001111111111111111000000111111111111	NA	NA	NA	1.9961978143635573	4.731579907970465	0.19265516530066312	357.62859064680106
july13_nores_727	dummy_lc.txt	2	494.3548962809024	111	2.4621310667560805	1.5019177957823349	NA	NA	NA	111	111	NA	NA	NA	1.9892058690568168	34.24731668429032	0.49936762640132104	388.64430857308673
july13_nores_472	dummy_lc.txt	2	205.47052112663957	111111	4.185090778677232	3.2959136953660457	NA	NA	NA	111111	111111	NA	NA	NA	1.9894811301759463	73.05455200210547	0.5721330721336331	426.45178833932766
july13_nores_157	dummy_lc.txt	2	235.59320216512924	111101	3.444153459559127	2.6174512353569885	NA	NA	NA	111101	111101	NA	NA	NA	1.9871318199315828	43.2956856251078	0.558272876622971	396.6925814804648
july13_nores_497	dummy_lc.txt	2	133.86748748203323	1111111011	10.305791505305315	10.421341643587162	NA	NA	NA	1111111011	1111111011	NA	NA	NA	1.989020947505668	11.260656299206884	0.22759375775288415	364.1579274899643
july13_nores_87	dummy_lc.txt	2	90.92097117788312	11101110111011	6.136224639097773	9.599092948091519	NA	NA	NA	11101110111011	11101110111011	NA	NA	NA	1.988746943961867	1.634767563258005	0.2693885310486371	354.5317473598698
